date,chemical,ccg_name,ccg_ods,total_list_size,items,actual_cost
2021-02-01,Apixaban,NHS Herefordshire and Worcestershire CCG,18C,805401,10009,532394.03
2021-02-01,Apixaban,NHS Norfolk and Waveney CCG,26A,1072686,5600,269455.71
2021-02-01,Apixaban,NHS Cheshire CCG,27D,784429,9045,452719.86
2021-02-01,Apixaban,NHS Bradford District and Craven CCG,36J,644728,3179,137040.86
2021-02-01,Apixaban,NHS South West London CCG,36L,1708885,12712,471739.64
2021-02-01,Apixaban,NHS North Yorkshire CCG,42D,432348,4411,204463.88
2021-02-01,Apixaban,NHS Nottingham and Nottinghamshire CCG,52R,1104167,7166,361536.13
2021-02-01,Apixaban,NHS West Sussex CCG,70F,908952,9647,518528.2
2021-02-01,Apixaban,NHS Lincolnshire CCG,71E,800854,11512,459513.78
2021-02-01,Apixaban,NHS South East London CCG,72Q,2013706,8371,390528.89
2021-02-01,Apixaban,NHS Northamptonshire CCG,78H,788877,7756,362557.5
2021-02-01,Apixaban,NHS County Durham CCG,84H,559071,9306,312565.8
2021-02-01,Apixaban,NHS Kent and Medway CCG,91Q,1932874,18744,952300.87
2021-02-01,Apixaban,NHS Surrey Heartlands CCG,92A,1109534,4844,276175.52
2021-02-01,Apixaban,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",92G,964875,13978,630810.6
2021-02-01,Apixaban,NHS North Central London CCG,93C,1687012,9956,428638.51
2021-02-01,Apixaban,NHS East Sussex CCG,97R,561185,6773,352697.45
2021-02-01,Apixaban,NHS Liverpool CCG,99A,553764,4657,220743.06
2021-02-01,Apixaban,NHS North Tyneside CCG,99C,222939,3182,116601.76
2021-02-01,Apixaban,NHS Basildon and Brentwood CCG,99E,283926,2312,135243.54
2021-02-01,Apixaban,NHS Castle Point and Rochford CCG,99F,185456,1574,93923.05
2021-02-01,Apixaban,NHS Southend CCG,99G,189713,1387,82581.91
2021-02-01,Apixaban,NHS North East London CCG,A3A8R,2275391,11505,438691.88
2021-02-01,Apixaban,NHS Coventry and Warwickshire CCG,B2M3M,1026032,7727,373015.4
2021-02-01,Apixaban,NHS Black Country and West Birmingham CCG,D2P2L,1490232,10267,508749.35
2021-02-01,Apixaban,NHS Frimley CCG,D4U1Y,803578,6152,329768.34
2021-02-01,Apixaban,"NHS Hampshire, Southampton and Isle of Wight CCG",D9Y0V,1669278,14090,809217.99
2021-02-01,Apixaban,"NHS Bedfordshire, Luton and Milton Keynes CCG",M1J4Y,1048326,6567,342681.72
2021-02-01,Apixaban,"NHS Shropshire, Telford and Wrekin CCG",M2L0M,511775,5640,310202.53
2021-02-01,Apixaban,NHS North West London CCG,W2U3Z,2643781,20058,745319.74
2021-02-01,Apixaban,NHS Kirklees CCG,X2C4Y,447223,4621,174667.62
2021-03-01,Apixaban,NHS Northumberland CCG,00L,330624,6316,252561.46
2021-03-01,Apixaban,NHS South Tyneside CCG,00N,158311,3144,105797.49
2021-03-01,Apixaban,NHS Sunderland CCG,00P,284234,6959,215952.98
2021-03-01,Apixaban,NHS Blackburn with Darwen CCG,00Q,179447,1027,53355.87
2021-03-01,Apixaban,NHS Blackpool CCG,00R,174961,2117,92820.96
2021-03-01,Apixaban,NHS Bolton CCG,00T,316944,4221,212968.6
2021-03-01,Apixaban,NHS Bury CCG,00V,207312,2771,148102.77
2021-03-01,Apixaban,NHS Chorley and South Ribble CCG,00X,186806,2130,115817.06
2021-03-01,Apixaban,NHS Oldham CCG,00Y,260726,2729,137396.38
2021-03-01,Apixaban,NHS East Lancashire CCG,01A,390813,3004,146280.9
2021-03-01,Apixaban,"NHS Heywood, Middleton and Rochdale CCG",01D,239629,2789,150754.1
2021-03-01,Apixaban,NHS Greater Preston CCG,01E,216325,2369,104774.96
2021-03-01,Apixaban,NHS Halton CCG,01F,134055,1830,98487.59
2021-03-01,Apixaban,NHS Salford CCG,01G,288478,3224,122750.7
2021-03-01,Apixaban,NHS North Cumbria CCG,01H,326623,4609,228947.12
2021-03-01,Apixaban,NHS Knowsley CCG,01J,168383,2171,107626.88
2021-03-01,Apixaban,NHS Morecambe Bay CCG,01K,351491,2492,116150.15
2021-03-01,Apixaban,NHS South Sefton CCG,01T,156451,1985,97819.76
2021-03-01,Apixaban,NHS Southport and Formby CCG,01V,125437,2952,138484.64
2021-03-01,Apixaban,NHS Stockport CCG,01W,317457,3802,185689.4
2021-03-01,Apixaban,NHS St Helens CCG,01X,199142,3385,172808.5
2021-03-01,Apixaban,NHS Tameside and Glossop CCG,01Y,251452,2281,118688.09
2021-03-01,Apixaban,NHS Trafford CCG,02A,243467,3882,152744.57
2021-03-01,Apixaban,NHS Warrington CCG,02E,220529,2983,163009.41
2021-03-01,Apixaban,NHS West Lancashire CCG,02G,113857,1803,87688.19
2021-03-01,Apixaban,NHS Wigan Borough CCG,02H,334533,3475,197790.93
2021-03-01,Apixaban,NHS Fylde and Wyre CCG,02M,180366,2565,112862.46
2021-03-01,Apixaban,NHS Barnsley CCG,02P,264044,6307,227788.55
2021-03-01,Apixaban,NHS Bassetlaw CCG,02Q,120078,2485,114232.18
2021-03-01,Apixaban,NHS Calderdale CCG,02T,221907,3296,125605.06
2021-03-01,Apixaban,NHS Doncaster CCG,02X,325838,5473,269757.09
2021-03-01,Apixaban,NHS East Riding of Yorkshire CCG,02Y,307004,4868,232960.21
2021-03-01,Apixaban,NHS Hull CCG,03F,303104,5038,201410.98
2021-03-01,Apixaban,NHS North East Lincolnshire CCG,03H,170408,1857,77257.46
2021-03-01,Apixaban,NHS North Lincolnshire CCG,03K,182370,2019,90980.09
2021-03-01,Apixaban,NHS Rotherham CCG,03L,264710,4909,243129.67
2021-03-01,Apixaban,NHS Sheffield CCG,03N,615273,7951,319199.77
2021-03-01,Apixaban,NHS Vale of York CCG,03Q,365751,4441,215548.05
2021-03-01,Apixaban,NHS Wakefield CCG,03R,384819,5033,263957.49
2021-03-01,Apixaban,NHS East Leicestershire and Rutland CCG,03W,339529,3141,157667.98
2021-03-01,Apixaban,NHS Leicester City CCG,04C,421602,2097,103100.57
2021-03-01,Apixaban,NHS West Leicestershire CCG,04V,403588,3734,170650.48
2021-03-01,Apixaban,NHS Cannock Chase CCG,04Y,135406,1827,93276.62
2021-03-01,Apixaban,NHS East Staffordshire CCG,05D,146108,2358,121282.12
2021-03-01,Apixaban,NHS North Staffordshire CCG,05G,217340,4169,217169.92
2021-03-01,Apixaban,NHS South East Staffordshire and Seisdon Peninsula CCG,05Q,215900,3676,171729.08
2021-03-01,Apixaban,NHS Stafford and Surrounds CCG,05V,150624,2580,132687.49
2021-03-01,Apixaban,NHS Stoke on Trent CCG,05W,296222,4575,236388.53
2021-03-01,Apixaban,NHS Cambridgeshire and Peterborough CCG,06H,1004016,7338,329412.77
2021-03-01,Apixaban,NHS East and North Hertfordshire CCG,06K,612352,8963,373384.58
2021-03-01,Apixaban,NHS Ipswich and East Suffolk CCG,06L,415055,5254,260098.73
2021-03-01,Apixaban,NHS Herts Valleys CCG,06N,661468,6137,270870
2021-03-01,Apixaban,NHS Mid Essex CCG,06Q,399394,3900,179230.03
2021-03-01,Apixaban,NHS North East Essex CCG,06T,360936,6336,298653.1
2021-03-01,Apixaban,NHS Thurrock CCG,07G,182379,1642,81245.88
2021-03-01,Apixaban,NHS West Essex CCG,07H,321026,3347,151849.61
2021-03-01,Apixaban,NHS West Suffolk CCG,07K,258515,3208,147296.34
2021-03-01,Apixaban,NHS Brighton and Hove CCG,09D,324055,2114,80989.36
2021-03-01,Apixaban,NHS Oxfordshire CCG,10Q,779112,13747,628233.55
2021-03-01,Apixaban,NHS Portsmouth CCG,10R,229763,2541,137470.32
2021-03-01,Apixaban,NHS Dorset CCG,11J,810403,12028,668207.22
2021-03-01,Apixaban,NHS Gloucestershire CCG,11M,665157,5335,213566.92
2021-03-01,Apixaban,NHS Kernow CCG,11N,591623,6375,298702.4
2021-03-01,Apixaban,NHS Somerset CCG,11X,587202,7316,416377.09
2021-03-01,Apixaban,NHS Wirral CCG,12F,337948,4596,248773.36
2021-03-01,Apixaban,NHS Newcastle Gateshead CCG,13T,532456,6882,221464.83
2021-03-01,Apixaban,NHS Manchester CCG,14L,676520,5154,220910.38
2021-03-01,Apixaban,NHS Buckinghamshire CCG,14Y,572096,5693,307269.38
2021-03-01,Apixaban,NHS Berkshire West CCG,15A,557411,5946,308598.8
2021-03-01,Apixaban,"NHS Bristol, North Somerset and South Gloucestershire CCG",15C,1041868,12136,592055.92
2021-03-01,Apixaban,NHS Birmingham and Solihull CCG,15E,1337944,12624,736462.22
2021-03-01,Apixaban,NHS Leeds CCG,15F,897331,7627,340558.51
2021-03-01,Apixaban,NHS Derby and Derbyshire CCG,15M,1066253,6618,385145.15
2021-03-01,Apixaban,NHS Devon CCG,15N,1255476,14072,699041.37
2021-03-01,Apixaban,NHS Tees Valley CCG,16C,709532,10754,482870.41
2021-03-01,Apixaban,NHS Herefordshire and Worcestershire CCG,18C,806128,11559,610638.12
2021-03-01,Apixaban,NHS Norfolk and Waveney CCG,26A,1072568,6319,300691.02
2021-03-01,Apixaban,NHS Cheshire CCG,27D,785233,10266,513623.89
2021-03-01,Apixaban,NHS Bradford District and Craven CCG,36J,644951,3738,161840.54
2021-03-01,Apixaban,NHS South West London CCG,36L,1708604,14541,536921.86
2021-03-01,Apixaban,NHS North Yorkshire CCG,42D,432655,4991,232076.97
2021-03-01,Apixaban,NHS Nottingham and Nottinghamshire CCG,52R,1103684,8079,411218.73
2021-03-01,Apixaban,NHS West Sussex CCG,70F,909453,10780,575534.84
2021-03-01,Apixaban,NHS Lincolnshire CCG,71E,801512,12953,521053.23
2021-03-01,Apixaban,NHS South East London CCG,72Q,2015184,9046,434350.86
2021-03-01,Apixaban,NHS Northamptonshire CCG,78H,789051,8953,418133.13
2021-03-01,Apixaban,NHS County Durham CCG,84H,558826,10526,353065.78
2021-03-01,Apixaban,NHS Kent and Medway CCG,91Q,1933781,21217,1083911.29
2021-03-01,Apixaban,NHS Surrey Heartlands CCG,92A,1110588,5455,313876.51
2021-03-01,Apixaban,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",92G,965865,15520,709762.67
2021-03-01,Apixaban,NHS North Central London CCG,93C,1689332,11057,475189.82
2021-03-01,Apixaban,NHS East Sussex CCG,97R,561653,7860,411394.2
2021-03-01,Apixaban,NHS Liverpool CCG,99A,553988,5332,252505.72
2021-03-01,Apixaban,NHS North Tyneside CCG,99C,223072,3729,134847.12
2021-03-01,Apixaban,NHS Basildon and Brentwood CCG,99E,283828,2494,146191.4
2021-03-01,Apixaban,NHS Castle Point and Rochford CCG,99F,185213,1807,110811.74
2021-03-01,Apixaban,NHS Southend CCG,99G,189569,1558,91092.07
2021-03-01,Apixaban,NHS North East London CCG,A3A8R,2278086,13169,504706.13
2021-03-01,Apixaban,NHS Coventry and Warwickshire CCG,B2M3M,1026746,8768,424436.06
2021-03-01,Apixaban,NHS Black Country and West Birmingham CCG,D2P2L,1489961,11305,559925.83
2021-03-01,Apixaban,NHS Frimley CCG,D4U1Y,803462,6779,361556.65
2021-03-01,Apixaban,"NHS Hampshire, Southampton and Isle of Wight CCG",D9Y0V,1670441,15959,918943.16
2021-03-01,Apixaban,"NHS Bedfordshire, Luton and Milton Keynes CCG",M1J4Y,1050092,7401,388737.75
2021-03-01,Apixaban,"NHS Shropshire, Telford and Wrekin CCG",M2L0M,512106,6436,350918.22
2021-03-01,Apixaban,NHS North West London CCG,W2U3Z,2649989,22385,848849.08
2021-03-01,Apixaban,NHS Kirklees CCG,X2C4Y,447396,5758,219063.66
2021-04-01,Apixaban,NHS Northumberland CCG,00L,331113,6158,248951.17
2021-04-01,Apixaban,NHS South Tyneside CCG,00N,158453,2952,99435.24
2021-04-01,Apixaban,NHS Sunderland CCG,00P,284346,6626,207880.84
2021-04-01,Apixaban,NHS Blackburn with Darwen CCG,00Q,179552,935,49003.8
2021-04-01,Apixaban,NHS Blackpool CCG,00R,174971,2083,92684.71
2021-04-01,Apixaban,NHS Bolton CCG,00T,317177,3999,201440.17
2021-04-01,Apixaban,NHS Bury CCG,00V,207544,2674,145208.62
2021-04-01,Apixaban,NHS Chorley and South Ribble CCG,00X,187002,2177,116696.93
2021-04-01,Apixaban,NHS Oldham CCG,00Y,260983,2821,138803.56
2021-04-01,Apixaban,NHS East Lancashire CCG,01A,391192,2885,140411.69
2021-04-01,Apixaban,"NHS Heywood, Middleton and Rochdale CCG",01D,239865,2723,144699.99
2021-04-01,Apixaban,NHS Greater Preston CCG,01E,216755,2355,105195.19
2021-04-01,Apixaban,NHS Halton CCG,01F,134140,2134,113952.04
2021-04-01,Apixaban,NHS Salford CCG,01G,289607,3238,119244.2
2021-04-01,Apixaban,NHS North Cumbria CCG,01H,327111,4617,229501.22
2021-04-01,Apixaban,NHS Knowsley CCG,01J,168625,2191,108263.79
2021-04-01,Apixaban,NHS Morecambe Bay CCG,01K,351442,2450,113429.5
2021-04-01,Apixaban,NHS South Sefton CCG,01T,156669,1917,94902.94
2021-04-01,Apixaban,NHS Southport and Formby CCG,01V,125662,2836,133922.05
2021-04-01,Apixaban,NHS Stockport CCG,01W,317863,3799,183310.74
2021-04-01,Apixaban,NHS St Helens CCG,01X,199421,3343,170261.39
2021-04-01,Apixaban,NHS Tameside and Glossop CCG,01Y,251732,2282,120760.08
2021-04-01,Apixaban,NHS Trafford CCG,02A,243836,3702,148063.3
2021-04-01,Apixaban,NHS Warrington CCG,02E,220725,2957,163102.49
2021-04-01,Apixaban,NHS West Lancashire CCG,02G,114019,1754,86636.5
2021-04-01,Apixaban,NHS Wigan Borough CCG,02H,334915,3407,193850.69
2021-04-01,Apixaban,NHS Fylde and Wyre CCG,02M,180451,2522,110143.02
2021-04-01,Apixaban,NHS Barnsley CCG,02P,264277,6078,216910.88
2021-04-01,Apixaban,NHS Bassetlaw CCG,02Q,120256,2384,109828.75
2021-04-01,Apixaban,NHS Calderdale CCG,02T,222048,3176,125108.24
2021-04-01,Apixaban,NHS Doncaster CCG,02X,326111,5262,256094.37
2021-04-01,Apixaban,NHS East Riding of Yorkshire CCG,02Y,307202,4762,228083.25
2021-04-01,Apixaban,NHS Hull CCG,03F,303407,4855,192212.96
2021-04-01,Apixaban,NHS North East Lincolnshire CCG,03H,170491,1858,79394.41
2021-04-01,Apixaban,NHS North Lincolnshire CCG,03K,182542,2000,89902.53
2021-04-01,Apixaban,NHS Rotherham CCG,03L,264960,4749,234429.86
2021-04-01,Apixaban,NHS Sheffield CCG,03N,614259,7777,314784.73
2021-04-01,Apixaban,NHS Vale of York CCG,03Q,365594,4416,215585.91
2021-04-01,Apixaban,NHS Wakefield CCG,03R,385366,4766,251273.88
2021-04-01,Apixaban,NHS East Leicestershire and Rutland CCG,03W,340091,3045,154602.86
2021-04-01,Apixaban,NHS Leicester City CCG,04C,421899,2142,104764.64
2021-04-01,Apixaban,NHS West Leicestershire CCG,04V,404145,3571,166234.45
2021-04-01,Apixaban,NHS Cannock Chase CCG,04Y,135444,1830,92875.81
2021-04-01,Apixaban,NHS East Staffordshire CCG,05D,146316,2363,118521.55
2021-04-01,Apixaban,NHS North Staffordshire CCG,05G,217183,4150,215810.05
2021-04-01,Apixaban,NHS South East Staffordshire and Seisdon Peninsula CCG,05Q,216097,3708,170426.44
2021-04-01,Apixaban,NHS Stafford and Surrounds CCG,05V,150776,2599,135735.77
2021-04-01,Apixaban,NHS Stoke on Trent CCG,05W,296257,4405,230572.44
2021-04-01,Apixaban,NHS Cambridgeshire and Peterborough CCG,06H,1005341,7367,333197.18
2021-04-01,Apixaban,NHS East and North Hertfordshire CCG,06K,612782,8728,364171.63
2021-04-01,Apixaban,NHS Ipswich and East Suffolk CCG,06L,415872,5187,254703.81
2021-04-01,Apixaban,NHS Herts Valleys CCG,06N,662255,5908,263957.84
2021-04-01,Apixaban,NHS Mid Essex CCG,06Q,400224,3640,167500.09
2021-04-01,Apixaban,NHS North East Essex CCG,06T,361390,6269,297915.24
2021-04-01,Apixaban,NHS Thurrock CCG,07G,182624,1713,85739.72
2021-04-01,Apixaban,NHS West Essex CCG,07H,321560,3392,150265.64
2021-04-01,Apixaban,NHS West Suffolk CCG,07K,259222,3054,142320.97
2021-04-01,Apixaban,NHS Brighton and Hove CCG,09D,324456,2003,79324.59
2021-04-01,Apixaban,NHS Oxfordshire CCG,10Q,779546,13253,609859.63
2021-04-01,Apixaban,NHS Portsmouth CCG,10R,230086,2356,128164.66
2021-04-01,Apixaban,NHS Dorset CCG,11J,811484,11781,648758.15
2021-04-01,Apixaban,NHS Gloucestershire CCG,11M,666413,5294,210761.13
2021-04-01,Apixaban,NHS Kernow CCG,11N,592595,6326,297148.73
2021-04-01,Apixaban,NHS Somerset CCG,11X,588379,7425,427596.36
2021-04-01,Apixaban,NHS Wirral CCG,12F,338175,4506,244334.4
2021-04-01,Apixaban,NHS Newcastle Gateshead CCG,13T,532265,6673,211702.92
2021-04-01,Apixaban,NHS Manchester CCG,14L,677745,4992,212012.66
2021-04-01,Apixaban,NHS Buckinghamshire CCG,14Y,573374,5361,291696.64
2021-04-01,Apixaban,NHS Berkshire West CCG,15A,557531,6080,322373.2
2021-04-01,Apixaban,"NHS Bristol, North Somerset and South Gloucestershire CCG",15C,1042556,12054,590976.6
2021-04-01,Apixaban,NHS Birmingham and Solihull CCG,15E,1339067,12482,734532.73
2021-04-01,Apixaban,NHS Leeds CCG,15F,897929,7489,334906.7
2021-04-01,Apixaban,NHS Derby and Derbyshire CCG,15M,1067161,6400,369793.9
2021-04-01,Apixaban,NHS Devon CCG,15N,1256751,13804,688594.59
2021-04-01,Apixaban,NHS Tees Valley CCG,16C,710505,10547,477376.97
2021-04-01,Apixaban,NHS Herefordshire and Worcestershire CCG,18C,807412,11396,604266.76
2021-04-01,Apixaban,NHS Norfolk and Waveney CCG,26A,1073983,6252,300797.25
2021-04-01,Apixaban,NHS Cheshire CCG,27D,786560,9927,499917.11
2021-04-01,Apixaban,NHS Bradford District and Craven CCG,36J,645635,3528,150347.81
2021-04-01,Apixaban,NHS South West London CCG,36L,1710972,14019,517684.01
2021-04-01,Apixaban,NHS North Yorkshire CCG,42D,433215,4851,226567.32
2021-04-01,Apixaban,NHS Nottingham and Nottinghamshire CCG,52R,1104115,8059,409478.58
2021-04-01,Apixaban,NHS West Sussex CCG,70F,911014,10633,570761.55
2021-04-01,Apixaban,NHS Lincolnshire CCG,71E,802353,12779,517384.68
2021-04-01,Apixaban,NHS South East London CCG,72Q,2018674,8864,416547.03
2021-04-01,Apixaban,NHS Northamptonshire CCG,78H,790574,8873,412620.04
2021-04-01,Apixaban,NHS County Durham CCG,84H,558564,9973,339339.56
2021-04-01,Apixaban,NHS Kent and Medway CCG,91Q,1937142,20601,1054557.06
2021-04-01,Apixaban,NHS Surrey Heartlands CCG,92A,1113139,5335,305266.35
2021-04-01,Apixaban,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",92G,967905,15160,702064.1
2021-04-01,Apixaban,NHS North Central London CCG,93C,1696720,10848,470602.48
2021-04-01,Apixaban,NHS East Sussex CCG,97R,562696,7626,393027.84
2021-04-01,Apixaban,NHS Liverpool CCG,99A,554389,5164,245420.7
2021-04-01,Apixaban,NHS North Tyneside CCG,99C,223243,3596,132899.56
2021-04-01,Apixaban,NHS Basildon and Brentwood CCG,99E,284070,2499,146098.05
2021-04-01,Apixaban,NHS Castle Point and Rochford CCG,99F,185432,1844,110170.91
2021-04-01,Apixaban,NHS Southend CCG,99G,189770,1501,88264.9
2021-04-01,Apixaban,NHS North East London CCG,A3A8R,2284553,12665,484113.81
2021-04-01,Apixaban,NHS Coventry and Warwickshire CCG,B2M3M,1028559,8915,433702.79
2021-04-01,Apixaban,NHS Black Country and West Birmingham CCG,D2P2L,1491072,11431,566111.47
2021-04-01,Apixaban,NHS Frimley CCG,D4U1Y,804030,6832,365918.35
2021-04-01,Apixaban,"NHS Hampshire, Southampton and Isle of Wight CCG",D9Y0V,1672144,15602,901989.97
2021-04-01,Apixaban,"NHS Bedfordshire, Luton and Milton Keynes CCG",M1J4Y,1052718,7248,380782.25
2021-04-01,Apixaban,"NHS Shropshire, Telford and Wrekin CCG",M2L0M,512966,6419,357884.17
2021-04-01,Apixaban,NHS North West London CCG,W2U3Z,2664428,21602,815547.33
2021-04-01,Apixaban,NHS Kirklees CCG,X2C4Y,447831,5202,197295.44
2021-05-01,Apixaban,NHS Northumberland CCG,00L,331462,6075,242663.01
2021-05-01,Apixaban,NHS South Tyneside CCG,00N,158543,2849,96620.99
2021-05-01,Apixaban,NHS Sunderland CCG,00P,284397,6415,200322.36
2021-05-01,Apixaban,NHS Blackburn with Darwen CCG,00Q,179667,944,49335.17
2021-05-01,Apixaban,NHS Blackpool CCG,00R,175023,2042,91025.33
2021-05-01,Apixaban,NHS Bolton CCG,00T,317346,3900,197220.95
2021-05-01,Apixaban,NHS Bury CCG,00V,207672,2574,137967.22
2021-05-01,Apixaban,NHS Chorley and South Ribble CCG,00X,187160,2054,111172.88
2021-05-01,Apixaban,NHS Oldham CCG,00Y,260998,2764,137168.91
2021-05-01,Apixaban,NHS East Lancashire CCG,01A,391629,2766,135661.82
2021-05-01,Apixaban,"NHS Heywood, Middleton and Rochdale CCG",01D,240006,2609,141344.64
2021-05-01,Apixaban,NHS Greater Preston CCG,01E,217209,2346,101059.53
2021-05-01,Apixaban,NHS Halton CCG,01F,134268,1893,101832.79
2021-05-01,Apixaban,NHS Salford CCG,01G,290429,2784,106820.42
2021-05-01,Apixaban,NHS North Cumbria CCG,01H,327203,4504,221769.08
2021-05-01,Apixaban,NHS Knowsley CCG,01J,168838,2081,103173.03
2021-05-01,Apixaban,NHS Morecambe Bay CCG,01K,351367,2381,110498.45
2021-05-01,Apixaban,NHS South Sefton CCG,01T,156759,1820,90370.8
2021-05-01,Apixaban,NHS Southport and Formby CCG,01V,125793,2747,131016.92
2021-05-01,Apixaban,NHS Stockport CCG,01W,318017,3566,174385.25
2021-05-01,Apixaban,NHS St Helens CCG,01X,199533,3193,162210.84
2021-05-01,Apixaban,NHS Tameside and Glossop CCG,01Y,251767,2134,110276.77
2021-05-01,Apixaban,NHS Trafford CCG,02A,244034,3502,140448.64
2021-05-01,Apixaban,NHS Warrington CCG,02E,220774,2851,157328.81
2021-05-01,Apixaban,NHS West Lancashire CCG,02G,113969,1689,82219.68
2021-05-01,Apixaban,NHS Wigan Borough CCG,02H,335223,3270,185959.01
2021-05-01,Apixaban,NHS Fylde and Wyre CCG,02M,180552,2413,106644.51
2021-05-01,Apixaban,NHS Barnsley CCG,02P,264334,5803,206990.7
2021-05-01,Apixaban,NHS Bassetlaw CCG,02Q,120407,2265,103952.6
2021-05-01,Apixaban,NHS Calderdale CCG,02T,222148,3038,119881.96
2021-05-01,Apixaban,NHS Doncaster CCG,02X,326160,5107,251685.6
2021-05-01,Apixaban,NHS East Riding of Yorkshire CCG,02Y,307247,4527,216706.54
2021-05-01,Apixaban,NHS Hull CCG,03F,303601,4647,185003.69
2021-05-01,Apixaban,NHS North East Lincolnshire CCG,03H,170566,1750,74233.46
2021-05-01,Apixaban,NHS North Lincolnshire CCG,03K,182714,1901,85794.18
2021-05-01,Apixaban,NHS Rotherham CCG,03L,265117,4512,223743.38
2021-05-01,Apixaban,NHS Sheffield CCG,03N,613782,7470,301769.79
2021-05-01,Apixaban,NHS Vale of York CCG,03Q,366125,4197,203713.57
2021-05-01,Apixaban,NHS Wakefield CCG,03R,385517,4605,244104.91
2021-05-01,Apixaban,NHS East Leicestershire and Rutland CCG,03W,340707,2863,145734.59
2021-05-01,Apixaban,NHS Leicester City CCG,04C,421879,1958,96814.33
2021-05-01,Apixaban,NHS West Leicestershire CCG,04V,404304,3473,159570.3
2021-05-01,Apixaban,NHS Cannock Chase CCG,04Y,135501,1746,88644.45
2021-05-01,Apixaban,NHS East Staffordshire CCG,05D,146563,2260,114370.84
2021-05-01,Apixaban,NHS North Staffordshire CCG,05G,217125,3880,203377.56
2021-05-01,Apixaban,NHS South East Staffordshire and Seisdon Peninsula CCG,05Q,216343,3485,159811.85
2021-05-01,Apixaban,NHS Stafford and Surrounds CCG,05V,150922,2372,123051.02
2021-05-01,Apixaban,NHS Stoke on Trent CCG,05W,296252,4473,232536.76
2021-05-01,Apixaban,NHS Cambridgeshire and Peterborough CCG,06H,1006407,6954,313416.72
2021-05-01,Apixaban,NHS East and North Hertfordshire CCG,06K,613064,8593,359577.45
2021-05-01,Apixaban,NHS Ipswich and East Suffolk CCG,06L,416225,5134,255044
2021-05-01,Apixaban,NHS Herts Valleys CCG,06N,662580,5740,259164.9
2021-05-01,Apixaban,NHS Mid Essex CCG,06Q,400928,3419,160330.44
2021-05-01,Apixaban,NHS North East Essex CCG,06T,361668,5918,280339.8
2021-05-01,Apixaban,NHS Thurrock CCG,07G,182916,1583,80025.45
2021-05-01,Apixaban,NHS West Essex CCG,07H,321875,3273,145356.36
2021-05-01,Apixaban,NHS West Suffolk CCG,07K,259470,3039,139711.27
2021-05-01,Apixaban,NHS Brighton and Hove CCG,09D,324576,1930,75347.87
2021-05-01,Apixaban,NHS Oxfordshire CCG,10Q,780219,13204,611789.62
2021-05-01,Apixaban,NHS Portsmouth CCG,10R,230211,2277,125338.33
2021-05-01,Apixaban,NHS Dorset CCG,11J,812239,11260,626011.95
2021-05-01,Apixaban,NHS Gloucestershire CCG,11M,667498,5263,206779.4
2021-05-01,Apixaban,NHS Kernow CCG,11N,592891,6058,286707.53
2021-05-01,Apixaban,NHS Somerset CCG,11X,589152,6965,397594.17
2021-05-01,Apixaban,NHS Wirral CCG,12F,338319,4270,231123.67
2021-05-01,Apixaban,NHS Newcastle Gateshead CCG,13T,532000,6489,210559.72
2021-05-01,Apixaban,NHS Manchester CCG,14L,676888,4682,202066.8
2021-05-01,Apixaban,NHS Buckinghamshire CCG,14Y,573590,5429,296085.05
2021-05-01,Apixaban,NHS Berkshire West CCG,15A,557865,5849,302817.57
2021-05-01,Apixaban,"NHS Bristol, North Somerset and South Gloucestershire CCG",15C,1043537,11447,562770.49
2021-05-01,Apixaban,NHS Birmingham and Solihull CCG,15E,1339391,11728,692346.66
2021-05-01,Apixaban,NHS Leeds CCG,15F,897827,7207,315418.49
2021-05-01,Apixaban,NHS Derby and Derbyshire CCG,15M,1068264,6257,364306.19
2021-05-01,Apixaban,NHS Devon CCG,15N,1257549,13592,680783.01
2021-05-01,Apixaban,NHS Tees Valley CCG,16C,711052,10037,450564.59
2021-05-01,Apixaban,NHS Herefordshire and Worcestershire CCG,18C,808218,10657,559093.66
2021-05-01,Apixaban,NHS Norfolk and Waveney CCG,26A,1074608,6063,291836.54
2021-05-01,Apixaban,NHS Cheshire CCG,27D,787420,9729,490119.22
2021-05-01,Apixaban,NHS Bradford District and Craven CCG,36J,646051,3370,145334.88
2021-05-01,Apixaban,NHS South West London CCG,36L,1710149,13524,510753.29
2021-05-01,Apixaban,NHS North Yorkshire CCG,42D,433561,4601,215611.18
2021-05-01,Apixaban,NHS Nottingham and Nottinghamshire CCG,52R,1104285,7586,387444.45
2021-05-01,Apixaban,NHS West Sussex CCG,70F,912313,10329,554392.52
2021-05-01,Apixaban,NHS Lincolnshire CCG,71E,802896,12352,496007.55
2021-05-01,Apixaban,NHS South East London CCG,72Q,2020919,8827,411802.76
2021-05-01,Apixaban,NHS Northamptonshire CCG,78H,791609,8536,398719.51
2021-05-01,Apixaban,NHS County Durham CCG,84H,558310,9891,335179.6
2021-05-01,Apixaban,NHS Kent and Medway CCG,91Q,1939460,19860,1024855.35
2021-05-01,Apixaban,NHS Surrey Heartlands CCG,92A,1114007,5316,303073.33
2021-05-01,Apixaban,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",92G,969152,14580,665644.54
